LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;Flag Codes
FRA;QGDP;TOT;PC_CHGPP;Q;2000-Q1;0.947089;
FRA;QGDP;TOT;PC_CHGPP;Q;2000-Q2;0.939535;
FRA;QGDP;TOT;PC_CHGPP;Q;2000-Q3;0.651971;
FRA;QGDP;TOT;PC_CHGPP;Q;2000-Q4;0.810285;
FRA;QGDP;TOT;PC_CHGPP;Q;2001-Q1;0.54979;
FRA;QGDP;TOT;PC_CHGPP;Q;2001-Q2;0.11746;
FRA;QGDP;TOT;PC_CHGPP;Q;2001-Q3;0.376078;
FRA;QGDP;TOT;PC_CHGPP;Q;2001-Q4;0.030025;
FRA;QGDP;TOT;PC_CHGPP;Q;2002-Q1;0.273789;
FRA;QGDP;TOT;PC_CHGPP;Q;2002-Q2;0.533681;
FRA;QGDP;TOT;PC_CHGPP;Q;2002-Q3;0.358152;
FRA;QGDP;TOT;PC_CHGPP;Q;2002-Q4;0.051497;
FRA;QGDP;TOT;PC_CHGPP;Q;2003-Q1;0.116284;
FRA;QGDP;TOT;PC_CHGPP;Q;2003-Q2;-0.216008;
FRA;QGDP;TOT;PC_CHGPP;Q;2003-Q3;0.685896;
FRA;QGDP;TOT;PC_CHGPP;Q;2003-Q4;0.777458;
FRA;QGDP;TOT;PC_CHGPP;Q;2004-Q1;0.86946;
FRA;QGDP;TOT;PC_CHGPP;Q;2004-Q2;0.654191;
FRA;QGDP;TOT;PC_CHGPP;Q;2004-Q3;0.352547;
FRA;QGDP;TOT;PC_CHGPP;Q;2004-Q4;0.74343;
FRA;QGDP;TOT;PC_CHGPP;Q;2005-Q1;0.243878;
FRA;QGDP;TOT;PC_CHGPP;Q;2005-Q2;0.177082;
FRA;QGDP;TOT;PC_CHGPP;Q;2005-Q3;0.494425;
FRA;QGDP;TOT;PC_CHGPP;Q;2005-Q4;0.730021;
FRA;QGDP;TOT;PC_CHGPP;Q;2006-Q1;0.817049;
FRA;QGDP;TOT;PC_CHGPP;Q;2006-Q2;0.99913;
FRA;QGDP;TOT;PC_CHGPP;Q;2006-Q3;-0.007867;
FRA;QGDP;TOT;PC_CHGPP;Q;2006-Q4;0.751729;
FRA;QGDP;TOT;PC_CHGPP;Q;2007-Q1;0.789068;
FRA;QGDP;TOT;PC_CHGPP;Q;2007-Q2;0.749188;
